ID,Isi Dokumen
1,"[Jurnal_Gizi_Masyarakat.pdf] Evaluasi Program Makan Bergizi Gratis (MBG) di Sekolah Dasar Terpencil: Dampaknya terhadap tingkat kehadiran siswa dan perbaikan asupan gizi harian anak-anak."
2,"[Laporan_Kemenkes_2025.pdf] Analisis efektivitas distribusi pangan lokal bagi program makan bergizi. Penyerapan pasokan bahan baku dari petani daerah dapat meningkatkan kemandirian ekonomi desa sekaligus memastikan kesegaran bahan makanan."
3,"[Skripsi_Kebijakan_Publik.pdf] Tantangan manajemen logistik dan penyediaan infrastruktur dapur umum sentral pada implementasi skema MBG di wilayah dataran tinggi."
4,"[Prosiding_Kesmas_Nasional.pdf] Sinergi strategis antara pemerintah daerah dan ahli nutrisi independen untuk menyusun variasi menu makanan sehat dan seimbang guna percepatan penurunan angka stunting nasional."
5,"[Artikel_Pendidikan_Gizi.pdf] Studi longitudinal mengenai korelasi positif antara asupan protein hewani secara teratur di jam istirahat sekolah dengan peningkatan konsentrasi dan nilai ujian akademik anak usia dini."
6,"[Buletin_Kesejahteraan.pdf] Tingginya antusiasme wali murid terhadap program makan bergizi gratis yang terbukti ampuh membantu penghematan pengeluaran anggaran belanja bulanan keluarga kurang mampu."
7,"[Tesis_Manajemen_Rantai_Pasok.pdf] Audit ketat prosedur keamanan pangan, sterilitas bahan baku, dan standar kebersihan fasilitas dapur satelit dalam memproduksi lebih dari lima ribu porsi hidangan bergizi setiap jam pengantaran."
8,"[Jurnal_Ekonomi_Pembangunan.pdf] Estimasi potensi penciptaan ribuan lapangan pekerjaan baru melalui alokasi dana desa untuk pendirian unit pelayanan makanan sekolah di tingkat kecamatan."
9,"[Whitepaper_Gizi_Nasional.pdf] Standarisasi takaran asupan vitamin, kalsium, dan kalori yang harus dipenuhi oleh setiap porsi makan siang yang dibagikan kepada anak-anak pada masa pertumbuhan fisik."
10,"[Liputan_Investigasi_Nutrisi.pdf] Inovasi pengawetan makanan sehat tanpa bahan kimia berbahaya untuk mendistribusikan lauk pauk bergizi tinggi ke sekolah yang sulit dijangkau akses transportasi darat."
11,"[Policy_Brief_Kemenkeu.pdf] Proyeksi keberlanjutan beban Anggaran Pendapatan dan Belanja Negara dalam mensubsidi program jaminan gizi anak sekolah hingga satu dekade ke depan."
12,"[Makalah_Sosial_Masyarakat.pdf] Membangun kesadaran budaya membuang sampah sisa makanan rumah tangga dan sekolah secara bertanggung jawab melalui kampanye sisa nol pada program jaminan gizi harian."
